Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location
12691 Mansfield,22057884.,Homrich,$17200.00,02/22/2016,No,1,42.381273,-83.204256,"12691 Mansfield
(42.381273, -83.204256)"
12882 Rosemont,22076348.,Homrich,$16900.00,02/23/2016,No,1,42.383231,-83.219335,"12882 Rosemont
(42.383231, -83.219335)"
14190 Montrose,22053081.,Homrich,$22800.00,02/22/2016,No,1,42.390687,-83.200093,"14190 Montrose
(42.390687, -83.200093)"
14432 Patton,22103883.,Homrich,$11000.00,02/24/2016,No,1,42.39285,-83.243131,"14432 Patton
(42.39285, -83.243131)"
15019 Lahser,22113857.,Homrich,$12000.00,02/24/2016,No,1,42.397905,-83.257131,"15019 Lahser
(42.397905, -83.257131)"
15450 Lahser,22113267-8,Homrich,$21700.00,02/23/2016,No,1,42.402825,-83.256532,"15450 Lahser
(42.402825, -83.256532)"
15757 Rockdale,22114346.,Homrich,$10800.00,02/23/2016,No,1,42.405126,-83.258652,"15757 Rockdale
(42.405126, -83.258652)"
15803 Archdale,22071813.,Homrich,$12800.00,02/22/2016,No,1,42.406771,-83.21685,"15803 Archdale
(42.406771, -83.21685)"
2654 Chipman,10000199.,Homrich,$16200.00,02/23/2016,No,6,42.326133,-83.079659,"2654 Chipman
(42.326133, -83.079659)"
2682 E Alexandrine,11001576.002L,Homrich,$15600.00,02/22/2016,No,5,42.359584,-83.034909,"2682 E Alexandrine
(42.359584, -83.034909)"
2847 Tillman,12007583.001,Homrich,$12500.00,02/24/2016,No,6,42.332007,-83.089972,"2847 Tillman
(42.332007, -83.089972)"
3354 Roosevelt,12010032.,Homrich,$15100.00,02/24/2016,No,6,42.333713,-83.095451,"3354 Roosevelt
(42.333713, -83.095451)"
1250 Lawrence,06002994.,Rickman Enterprise Group,$25470.00,02/22/2016,No,5,42.387007,-83.099168,"1250 Lawrence
(42.387007, -83.099168)"
13612 Grandville,22088307.,Rickman Enterprise Group,$6800.00,02/23/2016,No,1,42.385687,-83.230485,"13612 Grandville
(42.385687, -83.230485)"
1416 Virginia Park,06001810.,Rickman Enterprise Group,$21210.00,02/22/2016,No,5,42.372045,-83.089687,"1416 Virginia Park
(42.372045, -83.089687)"
211 Woodland,01003648.,Rickman Enterprise Group,$15700.00,02/22/2016,No,5,42.394195,-83.085217,"211 Woodland
(42.394195, -83.085217)"
281 E Grand Blvd,15008099.,Rickman Enterprise Group,$10490.00,02/23/2016,No,5,42.351645,-83.005451,"281 E Grand Blvd
(42.351645, -83.005451)"
15320 Greenlawn,16029320.,Able Demolition,$24678.00,02/24/2016,No,2,42.402946,-83.150261,"15320 Greenlawn
(42.402946, -83.150261)"
4877 Manistique,21061483.,Homrich,$18000.00,02/22/2016,No,4,42.395789,-82.955924,"4877 Manistique
(42.395789, -82.955924)"
7751 Wykes,18013386.,Homrich,$13100.00,02/24/2016,No,6,42.350354,-83.142285,"7751 Wykes
(42.350354, -83.142285)"
9615 Wyoming,18016103.,Able Demolition,$28115.00,02/24/2016,No,7,42.367216,-83.158561,"9615 Wyoming
(42.367216, -83.158561)"
9930 Montrose,22052926.,Homrich,$8300.00,02/24/2016,No,7,42.368301,-83.199457,"9930 Montrose
(42.368301, -83.199457)"
15273 Faircrest,21018902.,Esso Wrecking Co.,$10510.00,02/22/2016,No,4,42.432585,-82.963874,"15273 Faircrest
(42.432585, -82.963874)"
5431 Springwells,20005383.,Able Demolition,$25630.00,02/23/2016,No,6,42.333637,-83.142067,"5431 Springwells
(42.333637, -83.142067)"
5457 Springwells,20005379.,Able Demolition,$27130.00,02/23/2016,No,6,42.333928,-83.142275,"5457 Springwells
(42.333928, -83.142275)"
6548 Minock,22090457.,Rickman Enterprise Group,$7700.00,02/24/2016,No,7,42.339416,-83.231208,"6548 Minock
(42.339416, -83.231208)"
6802 Minock,22090471.,Rickman Enterprise Group,$8610.00,02/24/2016,No,7,42.341038,-83.23126,"6802 Minock
(42.341038, -83.23126)"
6810 Minock,22090472.,Rickman Enterprise Group,$10420.00,02/24/2016,No,7,42.341133,-83.231263,"6810 Minock
(42.341133, -83.231263)"
8595 Northlawn,18014806.,Rickman Enterprise Group,$11990.00,02/25/2016,No,7,42.358037,-83.152283,"8595 Northlawn
(42.358037, -83.152283)"
8977 Cameron,05004527-8,Rickman Enterprise Group,$12190.00,02/26/2016,No,5,42.386356,-83.070997,"8977 Cameron
(42.386356, -83.070997)"
5287 Tarnow,18012568.,Able Demolition,$24400.00,02/22/2016,No,6,42.334438,-83.137206,"5287 Tarnow
(42.334438, -83.137206)"
5293 Tarnow,18012567.,Able Demolition,$23900.00,02/22/2016,No,6,42.334511,-83.137259,"5293 Tarnow
(42.334511, -83.137259)"
5503 Proctor,18012810.,Able Demolition,$25687.60,02/22/2016,No,6,42.335847,-83.139289,"5503 Proctor
(42.335847, -83.139289)"
5519 Chopin,18012283.,Able Demolition,$28410.00,02/22/2016,No,6,42.336308,-83.137432,"5519 Chopin
(42.336308, -83.137432)"
10017 Mettetal,22060715.,Homrich,$14400.00,03/01/2016,No,7,42.369375,-83.206191,"10017 Mettetal
(42.369375, -83.206191)"
16914 Greydale,22112706.,Able Demolition,$21696.00,02/29/2016,No,1,42.414253,-83.255867,"16914 Greydale
(42.414253, -83.255867)"
17187 Salem,22124494.,Able Demolition,$16969.00,02/29/2016,No,1,42.415553,-83.285646,"17187 Salem
(42.415553, -83.285646)"
16921 Wormer,22123276.003,Brown Environmental Construction,$15400.00,03/01/2016,No,1,42.413725,-83.279994,"16921 Wormer
(42.413725, -83.279994)"
16933 Wormer,22123276.002,Brown Environmental Construction,$15400.00,03/01/2016,No,1,42.413834,-83.279998,"16933 Wormer
(42.413834, -83.279998)"
16941 Wormer,22123276.001,Brown Environmental Construction,$15400.00,03/01/2016,No,1,42.413941,-83.280002,"16941 Wormer
(42.413941, -83.280002)"
16519 Lauder,22042328.,Able Demolition,$10706.00,02/29/2016,No,1,42.411676,-83.192165,"16519 Lauder
(42.411676, -83.192165)"
15361 Lahser,22113827.,Able Demolition,$23698.00,02/29/2016,No,1,42.401597,-83.257274,"15361 Lahser
(42.401597, -83.257274)"
18295 Wormer,22123210.,Able Demolition,$23398.00,03/01/2016,No,1,42.423038,-83.28038,"18295 Wormer
(42.423038, -83.28038)"
7283 Piedmont,22087878.,"Direct Construction Services, LLC",$4301.00,02/27/2016,No,7,42.344531,-83.228465,"7283 Piedmont
(42.344531, -83.228465)"
13917 Forrer,22054564.,Rickman Enterprise Group,$7870.00,02/29/2016,No,1,42.387318,-83.201611,"13917 Forrer
(42.387318, -83.201611)"
14326 St Marys,22058564.,Rickman Enterprise Group,$10520.00,02/29/2016,No,1,42.392185,-83.205568,"14326 St
(42.392185, -83.205568)"
15955 Chalfonte,22010504.,Rickman Enterprise Group,$8260.00,02/29/2016,No,1,42.398844,-83.203944,"15955 Chalfonte
(42.398844, -83.203944)"
18950 Lahser,22113431.,Rickman Enterprise Group,$7930.00,02/29/2016,No,1,42.42717,-83.257777,"18950 Lahser
(42.42717, -83.257777)"
20153 Meyers,22019877-8,Rickman Enterprise Group,$10500.00,03/01/2016,No,2,42.441535,-83.171434,"20153 Meyers
(42.441535, -83.171434)"
20254 San Juan,16025746.,Rickman Enterprise Group,$12360.00,02/29/2016,No,2,42.443437,-83.147158,"20254 San
(42.443437, -83.147158)"
9549 Montrose,22053381.,Homrich,$14800.00,03/01/2016,No,7,42.366081,-83.200054,"9549 Montrose
(42.366081, -83.200054)"
9576 Forrer,22053716.,Homrich,$11900.00,03/01/2016,No,7,42.366481,-83.200591,"9576 Forrer
(42.366481, -83.200591)"
9647 Rutherford,22056712.,Homrich,$11700.00,03/01/2016,No,7,42.367407,-83.202477,"9647 Rutherford
(42.367407, -83.202477)"
9900 Mettetal,22059712.,Homrich,$11800.00,03/01/2016,No,7,42.367825,-83.20545,"9900 Mettetal
(42.367825, -83.20545)"
3815 Mohawk,14001007.,Homrich,$12400.00,02/26/2016,No,6,42.343273,-83.10367,"3815 Mohawk
(42.343273, -83.10367)"
4614 Central,18009777.,Homrich,$22900.00,02/26/2016,No,6,42.329469,-83.136114,"4614 Central
(42.329469, -83.136114)"
8690 Traverse,19003256.,Homrich,$15400.00,03/03/2016,No,3,42.399867,-83.015743,"8690 Traverse
(42.399867, -83.015743)"
8283 Piedmont,22087808.,"Direct Construction Services, LLC",$12972.61,03/01/2016,No,7,42.353461,-83.228829,"8283 Piedmont
(42.353461, -83.228829)"
8284 Piedmont,22086984.,"Direct Construction Services, LLC",$8875.24,03/01/2016,No,7,42.353468,-83.228145,"8284 Piedmont
(42.353468, -83.228145)"
1111 Concord,15011772.,Rickman Enterprise Group,$8860.00,02/26/2016,No,5,42.350364,-83.008425,"1111 Concord
(42.350364, -83.008425)"
16915 Greydale,22112899.,Able Demolition,$25314.00,02/26/2016,No,1,42.414235,-83.256547,"16915 Greydale
(42.414235, -83.256547)"
14494 Robson,22043664.,Able Demolition,$32359.20,02/26/2016,No,1,42.394319,-83.192291,"14494 Robson
(42.394319, -83.192291)"
12075 Maiden,21006612.,Homrich,$17900.00,03/07/2016,No,4,42.402614,-82.985166,"12075 Maiden
(42.402614, -82.985166)"
12740 Racine,21033563.,Homrich,$12700.00,03/08/2016,No,4,42.422394,-82.995471,"12740 Racine
(42.422394, -82.995471)"
13371 Flanders,21011600.,Homrich,$15200.00,03/08/2016,No,4,42.417962,-82.978092,"13371 Flanders
(42.417962, -82.978092)"
13867 Moran,09009086.,Homrich,$11200.00,03/09/2016,No,3,42.418284,-83.0648,"13867 Moran
(42.418284, -83.0648)"
14110 Linnhurst,21018450.,Homrich,$16700.00,03/10/2016,No,4,42.431091,-82.977409,"14110 Linnhurst
(42.431091, -82.977409)"
15719 Rossini Drive,21025023.,Esso Wrecking Co.,$9960.00,03/07/2016,No,3,42.44407,-82.958665,"15719 Rossini Drive
(42.44407, -82.958665)"
15844 Dacosta,22115678.,Brown Environmental Construction,$5079.00,03/02/2016,No,1,42.406376,-83.26041,"15844 Dacosta
(42.406376, -83.26041)"
15915 Rossini Drive,21025034.,Esso Wrecking Co.,$11850.00,03/07/2016,No,3,42.444129,-82.956231,"15915 Rossini Drive
(42.444129, -82.956231)"
167 W Robinwood,01006492.,Homrich,$18600.00,03/07/2016,No,2,42.429609,-83.105496,"167 W Robinwood
(42.429609, -83.105496)"
17208 Munich,21001990-1,Homrich,$17400.00,03/07/2016,No,4,42.403164,-82.925468,"17208 Munich
(42.403164, -82.925468)"
20076 Dresden,21034771.,Esso Wrecking Co.,$10675.00,03/08/2016,No,3,42.444739,-82.999844,"20076 Dresden
(42.444739, -82.999844)"
20150 Rogge,15006560.,Esso Wrecking Co.,$11060.00,03/09/2016,No,3,42.444354,-83.029186,"20150 Rogge
(42.444354, -83.029186)"
20219 Dresden,21034815.,Esso Wrecking Co.,$10750.00,03/08/2016,No,3,42.445732,-83.000573,"20219 Dresden
(42.445732, -83.000573)"
20261 Waltham,21032782.,Homrich,$17500.00,03/08/2016,No,3,42.446442,-82.995731,"20261 Waltham
(42.446442, -82.995731)"
20549 Caldwell,13014377.,Homrich,$11400.00,03/09/2016,No,3,42.44691,-83.047872,"20549 Caldwell
(42.44691, -83.047872)"
3502 Beals,17010442.,Esso Wrecking Co.,$9300.00,03/11/2016,No,5,42.36605,-83.006367,"3502 Beals
(42.36605, -83.006367)"
4668 Fairview,21042215.,Homrich,$12200.00,03/07/2016,No,4,42.385363,-82.986454,"4668 Fairview
(42.385363, -82.986454)"
5013 Fischer,17005884.,Esso Wrecking Co.,$9300.00,03/10/2016,No,5,42.378807,-83.006229,"5013 Fischer
(42.378807, -83.006229)"
5067 Fischer,17005875.,Esso Wrecking Co.,$19460.00,03/10/2016,No,5,42.37946,-83.006699,"5067 Fischer
(42.37946, -83.006699)"
10 W Arizona,01004588.,Rickman Enterprise Group,$13630.00,03/08/2016,No,2,42.419302,-83.10232,"10 W Arizona
(42.419302, -83.10232)"
134 W Savannah,01005642.,Rickman Enterprise Group,$5520.00,03/08/2016,No,2,42.425589,-83.104688,"134 W Savannah
(42.425589, -83.104688)"
5774 Eastlawn,21053097.,Esso Wrecking Co.,$11610.00,03/11/2016,No,4,42.400334,-82.965628,"5774 Eastlawn
(42.400334, -82.965628)"
9340 Weyher,19000972.,Homrich,$13400.00,03/07/2016,No,4,42.373814,-82.994374,"9340 Weyher
(42.373814, -82.994374)"
10021 Asbury Park,22062199.,Homrich,$11200.00,03/02/2016,No,7,42.36942,-83.207462,"10021 Asbury Park
(42.36942, -83.207462)"
11330 Abington Ave,22066150.,Homrich,$14700.00,03/02/2016,No,7,42.3705,-83.210399,"11330 Abington Ave
(42.3705, -83.210399)"
11366 Woodmont,22062574.,Homrich,$12600.00,03/02/2016,No,7,42.371018,-83.208005,"11366 Woodmont
(42.371018, -83.208005)"
17142 Lamont,13017321.,Homrich,$17200.00,03/03/2016,No,3,42.419536,-83.053576,"17142 Lamont
(42.419536, -83.053576)"
17340 Fenelon,13016935.,Homrich,$13000.00,03/03/2016,No,3,42.421617,-83.05257,"17340 Fenelon
(42.421617, -83.05257)"
17632 Dwyer,13011740.,Homrich,$16700.00,03/03/2016,No,3,42.423769,-83.040883,"17632 Dwyer
(42.423769, -83.040883)"
18680 Shields,13019172.,Homrich,$15200.00,03/02/2016,No,3,42.430775,-83.059421,"18680 Shields
(42.430775, -83.059421)"
19266 Winston,22123964.,Able Demolition,$19585.00,03/03/2016,No,1,42.431123,-83.283058,"19266 Winston
(42.431123, -83.283058)"
7580 Lynch Rd,15002511.,Homrich,$13100.00,03/03/2016,No,3,42.404699,-83.024608,"7580 Lynch Rd
(42.404699, -83.024608)"
5761 Eastlawn,21053160.,Esso Wrecking Co.,$16460.00,03/12/2016,No,4,42.399856,-82.966357,"5761 Eastlawn
(42.399856, -82.966357)"
18224 Grayfield,22120377.,Able Demolition,$23504.00,03/03/2016,No,1,42.422166,-83.269339,"18224 Grayfield
(42.422166, -83.269339)"
18266 Grayfield,22120381.,Able Demolition,$23312.00,03/03/2016,No,1,42.422741,-83.269356,"18266 Grayfield
(42.422741, -83.269356)"
19017 Wormer,22123179.,Able Demolition,$20898.00,03/02/2016,No,1,42.428191,-83.280873,"19017 Wormer
(42.428191, -83.280873)"
560 W Brentwood,01006866.,Rickman Enterprise Group,$12560.00,03/07/2016,No,2,42.43157,-83.110286,"560 W Brentwood
(42.43157, -83.110286)"
981 Fernhill,01007629.,Rickman Enterprise Group,$6990.00,03/07/2016,No,2,42.437478,-83.113882,"981 Fernhill
(42.437478, -83.113882)"
11624 Dwyer,13011639.,Homrich,$15300.00,03/15/2016,No,3,42.409005,-83.040017,"11624 Dwyer
(42.409005, -83.040017)"
14710 Lappin,21021735.,Homrich,$10500.00,03/16/2016,No,3,42.436756,-82.971364,"14710 Lappin
(42.436756, -82.971364)"
14927 Manning,21023345.,Homrich,$11500.00,03/15/2016,No,3,42.441148,-82.968235,"14927 Manning
(42.441148, -82.968235)"
15709 Novara,21022565.,Homrich,$16500.00,03/16/2016,No,3,42.439424,-82.958681,"15709 Novara
(42.439424, -82.958681)"
15892 Greenlawn,16029387.,Brown Environmental Construction,$8682.00,03/15/2016,No,2,42.40877,-83.15047,"15892 Greenlawn
(42.40877, -83.15047)"
16877 Prairie,16023249.,Brown Environmental Construction,$21660.00,03/14/2016,No,2,42.415818,-83.145385,"16877 Prairie
(42.415818, -83.145385)"
17155 Lamont,13017583.,Homrich,$10400.00,03/14/2016,No,3,42.419689,-83.054167,"17155 Lamont
(42.419689, -83.054167)"
3555 Somerset,21067608.,Brown Environmental Construction,$5370.00,03/16/2016,No,4,42.389188,-82.941383,"3555 Somerset
(42.389188, -82.941383)"
4143 Van Dyke,17010155.,DMC Consultants,$15367.50,03/15/2016,No,5,42.370363,-83.009009,"4143 Van
(42.370363, -83.009009)"
17151 Maine,09012723.,Rickman Enterprise Group,$8460.00,03/14/2016,No,3,42.41939,-83.075494,"17151 Maine
(42.41939, -83.075494)"
17160 Gable,13012342.,Rickman Enterprise Group,$9870.00,03/14/2016,No,3,42.420029,-83.041466,"17160 Gable
(42.420029, -83.041466)"
17502 Anglin,09011955.,Rickman Enterprise Group,$8150.00,03/14/2016,No,3,42.422522,-83.073957,"17502 Anglin
(42.422522, -83.073957)"
17865 Goddard,09014290.,Rickman Enterprise Group,$11620.00,03/14/2016,No,3,42.424267,-83.078661,"17865 Goddard
(42.424267, -83.078661)"
17908 Mackay,09013082.,Rickman Enterprise Group,$7240.00,03/14/2016,No,3,42.424887,-83.076138,"17908 Mackay
(42.424887, -83.076138)"
19929 Barlow,21033316.,Rickman Enterprise Group,$9750.00,03/14/2016,No,3,42.442636,-82.996737,"19929 Barlow
(42.442636, -82.996737)"
5108 Iroquois,17007098.,Esso Wrecking Co.,$9650.00,03/16/2016,No,5,42.379026,-83.009444,"5108 Iroquois
(42.379026, -83.009444)"
5235 Neff,21076299.010,Brown Environmental Construction,$4716.00,03/16/2016,No,4,42.410018,-82.926866,"5235 Neff
(42.410018, -82.926866)"
5300 Coplin,21051451.,DMC Consultants,$27175.00,03/15/2016,No,4,42.396576,-82.965943,"5300 Coplin
(42.396576, -82.965943)"
5540 Philip,21060300.,DMC Consultants,$9437.50,03/15/2016,No,4,42.400212,-82.958988,"5540 Philip
(42.400212, -82.958988)"
5816 Lakeview,21052409.,Esso Wrecking Co.,$10200.00,03/15/2016,No,4,42.40037,-82.967296,"5816 Lakeview
(42.40037, -82.967296)"
5932 PHILIP,21060323.,Esso Wrecking Co.,$9410.00,03/15/2016,No,4,42.403333,-82.961053,"5932 PHILIP
(42.403333, -82.961053)"
6050 Auburn,22092077.,DMC Consultants,$9629.25,03/16/2016,No,7,42.333121,-83.232198,"6050 Auburn
(42.333121, -83.232198)"
8050 Manila,17000535.,DMC Consultants,$27466.00,03/15/2016,No,5,42.373335,-83.009524,"8050 Manila
(42.373335, -83.009524)"
8081 Auburn,22092911.,DMC Consultants,$10505.00,03/16/2016,No,7,42.351603,-83.233627,"8081 Auburn
(42.351603, -83.233627)"
8450 Auburn,22092251.,DMC Consultants,$9550.00,03/16/2016,No,7,42.354774,-83.233048,"8450 Auburn
(42.354774, -83.233048)"
8681 Brace,22081154.,DMC Consultants,$10300.00,03/16/2016,No,7,42.357074,-83.224035,"8681 Brace
(42.357074, -83.224035)"
8827 Auburn,22092858.,DMC Consultants,$9750.00,03/16/2016,No,7,42.358086,-83.233887,"8827 Auburn
(42.358086, -83.233887)"
8836 Brace,22081032-3,DMC Consultants,$8900.00,03/16/2016,No,7,42.358372,-83.223351,"8836 Brace
(42.358372, -83.223351)"
9130 Beaconsfield,21065758.,DMC Consultants,$9631.40,03/15/2016,No,4,42.408682,-82.955364,"9130 Beaconsfield
(42.408682, -82.955364)"
4549 Iroquois,17007421.,Esso Wrecking Co.,$19630.00,03/19/2016,No,5,42.375168,-83.00737,"4549 Iroquois
(42.375168, -83.00737)"
5251 Beaconsfield,21066242.,Esso Wrecking Co.,$9650.00,03/20/2016,No,4,42.40103,-82.951667,"5251 Beaconsfield
(42.40103, -82.951667)"
5312 Iroquois,17007114.,Esso Wrecking Co.,$9100.00,03/20/2016,No,5,42.380334,-83.010385,"5312 Iroquois
(42.380334, -83.010385)"
618 Meldrum,15013472.,Rickman Enterprise Group,$11160.00,03/16/2016,No,5,42.346121,-83.009663,"618 Meldrum
(42.346121, -83.009663)"
5257 Coplin,21051563.,DMC Consultants,$16917.51,03/15/2016,No,4,42.395867,-82.966143,"5257 Coplin
(42.395867, -82.966143)"
19517 Westbrook,22109990.,"Adamo Group, Inc.",$10958.00,03/23/2016,No,1,42.434563,-83.25281,"19517 Westbrook
(42.434563, -83.25281)"
11965 Laing,21058050.,Brown Environmental Construction,$4511.00,03/18/2016,No,4,42.42522,-82.955131,"11965 Laing
(42.42522, -82.955131)"
4216 Wesson,16015351.,Homrich,$23000.00,03/17/2016,No,6,42.333955,-83.117119,"4216 Wesson
(42.333955, -83.117119)"
5532 Beaconsfield,21065716.,Esso Wrecking Co.,$9520.00,03/19/2016,No,4,42.402667,-82.952064,"5532 Beaconsfield
(42.402667, -82.952064)"
5977 Chalmers,21055920.,Esso Wrecking Co.,$9870.00,03/20/2016,No,4,42.402878,-82.964189,"5977 Chalmers
(42.402878, -82.964189)"
